iter	Passed	Remaining
0	0	78
1	1	69
2	1	61
3	2	58
4	2	56
5	3	54
6	4	53
7	4	52
8	5	52
9	5	50
10	6	50
11	6	49
12	7	48
13	7	48
14	8	47
15	8	46
16	9	46
17	9	45
18	10	44
19	11	44
20	11	43
21	12	42
22	12	42
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	22	30
42	22	30
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	22
58	30	21
59	31	21
60	32	20
61	32	19
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	52	0
